crop,fertilizer_npk_kg_ha,irrigation_rounds,avg_temp_c,rainfall_mm,historical_yield_kg_ha,yield_kg_ha
Wheat,160,5,21.0,85,3400,3450
Wheat,200,6,20.5,110,3800,3850
Wheat,120,4,23.0,60,2900,2950
Wheat,180,6,21.5,95,3600,3620
Wheat,140,5,22.0,75,3200,3250
Wheat,220,7,19.8,130,4100,4180
Wheat,100,3,24.5,45,2600,2550
Wheat,170,5,21.2,90,3500,3550
Rice,150,14,31.0,420,3200,3300
Rice,180,16,30.5,480,3600,3650
Rice,110,12,32.0,350,2800,2750
Rice,190,18,29.8,510,3850,3900
Rice,130,13,31.5,390,3000,3050
Rice,200,17,30.0,530,4000,4080
Rice,100,11,33.0,310,2500,2480
Rice,160,15,30.8,440,3400,3420
